,Дата оформления заказа,Код сотрудника,Департамент,Наименование товара,Стоимость в валюте,Скидка,Количество,Категория,Статус товара
1729,28.08.2024 9:49,SU183772,ДИРС.Информационная безопасность.группа поддержки продаж решений по информационной безопасности,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1730,28.08.2024 9:49,SU177919,ДИМС.технические менеджеры по инженерным системам,Карта Кроковца,0,0,1,Мерч и сувениры КРОК,закончился
1731,28.08.2024 9:40,SU177919,ДИМС.технические менеджеры по инженерным системам,Наушники TWS Xiaomi Redmi Buds 3 Pro,3000,0,1,Прокачай эффективность,закончился
1732,28.08.2024 9:29,SU198186,ДИРС.Облачные сервисы.группа специалистов поддержки ИТ-инфраструктур,Кофе КРОК ,150,0,1,Сервис,закончился
1735,28.08.2024 8:09,SU153661,ДРПО.ГИС.росстат. группа аналитиков,Кофе КРОК ,150,0,1,Сервис,закончился
1738,27.08.2024 19:19,SU220,ДИРС.группа инженеров по ИТ-инфраструктуре и мониторингу,Наушники TWS Xiaomi Redmi Buds 3 Pro,3000,0,1,Прокачай эффективность,закончился
1739,27.08.2024 19:13,SU197051,ДРП.отдел рекрутинга,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1740,27.08.2024 18:33,SU109788,ДРПО.ГИС.росстат.группа тестировщиков,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
1742,27.08.2024 17:23,SU196934,ДИМС.Группа электроснабжения и климатических систем,Футболка SOFT `24,950,0,1,В стиле КРОК,на витрине
1749,27.08.2024 15:59,SU142424,ДРП.отдел рекрутинга,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1750,27.08.2024 15:58,SU142424,ДРП.отдел рекрутинга,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1751,27.08.2024 15:36,SU195213,ДИРС.группа инженеров по вычислительной инфраструктуре,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1752,27.08.2024 15:19,SU121314,ДПМП.группа администраторов проектов по ИТ-системам и программным решениям,Кофе КРОК ,150,0,1,Сервис,закончился
1765,27.08.2024 13:52,SU197280,ДИРС.Информационная безопасность.группа инженеров по сетевой безопасности,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1766,27.08.2024 13:44,SU93175,ДРПО.ГИС.выборы. группа разработчиков,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1767,27.08.2024 13:41,SU93175,ДРПО.ГИС.выборы. группа разработчиков,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1768,27.08.2024 13:18,SU197785,ДИРС.Облачные сервисы.группа веб разработки облака,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
1770,27.08.2024 13:14,SU163106,ДРПО.ГИС.выборы. группа тестировщиков,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1771,27.08.2024 13:13,SU196950,ДБП.группа технических менеджеров по 1С и автоматизации бизнес-процессов,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1772,27.08.2024 13:12,SU149121,ДБП.группа аналитиков и консультантов по внедрению Big Data и BI,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1773,27.08.2024 13:11,SU126042,ДПМП.группа управления проектами по инженерным и мультимедийным системам,Худи CROC Voices,600,0,1,В стиле КРОК,закончился
1774,27.08.2024 13:09,SU189913,ДИРС.Информационная безопасность.группа аналитиков по информационной безопасности,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1776,27.08.2024 13:06,SU167484,ДТК.Сервис.Первая линия,ОбуЧАЙ пак,0,0,1,Без категории,закупка
1778,27.08.2024 12:13,SU141750,ДИРС.группа поддержки продаж решений по программной инфраструктуре,Олимпийка SOFT `24,2000,0,1,В стиле КРОК,на витрине
1780,27.08.2024 12:02,SU93742,ДТК.группа сетевых решений,Картхолдер,0,0,1,Мерч и сувениры КРОК,закончился
1782,27.08.2024 11:47,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Шоппер КРОК FEST TOUR,400,0,1,КРОК FEST TOUR,закупка
1783,27.08.2024 11:46,SU189154,ДИРС.группа инженеров по инфраструктурному ПО,Кофе КРОК ,300,0,2,Сервис,закончился
1784,27.08.2024 11:13,SU47737,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Свитшот SOFT `24,1400,0,1,В стиле КРОК,на витрине
1785,27.08.2024 11:11,SU47737,ДПМП.группа администраторов проектов по инженерным и мультимедийным системам,Толстовка HARD `24,2000,0,1,В стиле КРОК,на витрине
1787,27.08.2024 9:46,SU146744,ДПМП.группа администраторов BackOffice,Кофе КРОК ,150,0,1,Сервис,закончился
1791,26.08.2024 17:14,SU1321,Служба сопровождения проектной документации,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
1798,26.08.2024 11:18,SU130789,ДРПО.ГИС.цифровые экосистемы.группа аналитиков и внедренцев,Футболка <лето в КРОК> brainz by CROC,650,0,1,Мерч и сувениры КРОК,на витрине
